rank,xc_utm,yc_utm,zmean_m,ponding_m,basins,manholes,mean_pci,s_pond,s_basin_deficit,s_pci,priority
1,328681.21,4695250.92,-17.03,1.745,0,1,,0.987,1.0,0.5,89.3
2,328731.21,4695300.92,-19.63,1.556,0,1,,0.88,1.0,0.5,84.0
3,328431.21,4695300.92,-20.58,1.79,0,0,85.8,1.0,1.0,0.142,82.8
4,328581.21,4695200.92,-13.42,1.889,0,0,92.1,1.0,1.0,0.079,81.6
5,328431.21,4695400.92,-20.54,1.833,0,0,94.8,1.0,1.0,0.052,81.0
6,328631.21,4695900.92,-20.96,1.626,0,1,83.7,0.92,1.0,0.163,79.2
7,328331.21,4695600.92,-21.0,1.545,0,0,85.7,0.874,1.0,0.143,76.6
8,328781.21,4695400.92,-23.18,1.342,0,4,59.2,0.759,1.0,0.408,76.1
9,328681.21,4695200.92,-22.83,1.507,0,1,84.4,0.852,1.0,0.156,75.7
10,328431.21,4695350.92,-19.41,1.497,0,0,86.1,0.847,1.0,0.139,75.1
11,328281.21,4695800.92,-17.68,2.065,1,2,,1.0,0.5,0.5,75.0
12,328531.21,4695200.92,-11.95,1.422,0,0,82.6,0.804,1.0,0.174,73.7
13,328331.21,4695550.92,-21.01,1.377,0,3,77.7,0.779,1.0,0.223,73.4
14,328831.21,4695400.92,-19.18,2.136,2,0,,1.0,0.333,0.5,70.0
15,328381.21,4695400.92,-23.25,1.272,0,0,82.7,0.719,1.0,0.173,69.4
16,328231.21,4695800.92,-17.91,2.105,2,2,55.4,1.0,0.333,0.446,68.9
17,328431.21,4695550.92,-21.58,1.711,2,6,,0.967,0.333,0.5,68.4
18,328531.21,4695950.92,-22.67,1.514,1,1,,0.856,0.5,0.5,67.8
19,328731.21,4695200.92,-21.78,1.455,1,3,,0.823,0.5,0.5,66.2
20,328731.21,4695000.92,-15.41,1.135,0,0,85.5,0.642,1.0,0.145,65.0
21,328431.21,4695650.92,-20.19,1.41,1,2,,0.798,0.5,0.5,64.9
22,328381.21,4695800.92,-22.77,1.573,2,3,,0.889,0.333,0.5,64.5
23,328731.21,4695400.92,-24.88,0.846,0,1,,0.478,1.0,0.5,63.9
24,328381.21,4695950.92,-19.6,0.938,0,3,65.8,0.53,1.0,0.342,63.3
25,328381.21,4696000.92,-19.49,0.806,0,5,,0.456,1.0,0.5,62.8
26,328581.21,4695550.92,-22.22,0.804,0,1,,0.454,1.0,0.5,62.7
27,328531.21,4695450.92,-24.6,0.892,0,10,64.6,0.504,1.0,0.354,62.3
28,328431.21,4695600.92,-21.0,1.321,1,2,,0.747,0.5,0.5,62.3
29,328681.21,4695900.92,-25.72,0.964,0,0,78.4,0.545,1.0,0.216,61.6
30,328831.21,4695500.92,-23.26,1.83,3,7,80.3,1.0,0.25,0.197,61.4
31,328531.21,4695400.92,-24.94,0.753,0,4,,0.426,1.0,0.5,61.3
32,328781.21,4695300.92,-19.6,2.23,3,21,83.1,1.0,0.25,0.169,60.9
