rank,x0_utm,y0_utm,zmean_ft,ponding_ft,basins,mean_pci,s_pond,s_basin_deficit,s_pci,priority
1,326034.2,4694825.4,29.1,4.0,0,29.3,1.0,1.0,0.707,94.1
2,326384.2,4694575.4,25.0,4.0,0,42.5,1.0,1.0,0.576,91.5
3,326584.2,4694525.4,26.8,4.0,0,45.0,1.0,1.0,0.55,91.0
4,326584.2,4694575.4,37.0,3.978,0,44.2,0.995,1.0,0.558,90.9
5,326484.2,4694725.4,70.2,3.75,0,33.1,0.937,1.0,0.669,90.3
6,329134.2,4693225.4,11.0,4.0,0,,1.0,1.0,0.5,90.0
7,329184.2,4693225.4,11.1,4.0,0,,1.0,1.0,0.5,90.0
8,329234.2,4693225.4,11.1,4.0,0,,1.0,1.0,0.5,90.0
9,329284.2,4693225.4,10.9,4.0,0,,1.0,1.0,0.5,90.0
10,329334.2,4693225.4,10.9,4.0,0,,1.0,1.0,0.5,90.0
11,328184.2,4693275.4,10.8,4.0,0,,1.0,1.0,0.5,90.0
12,328234.2,4693275.4,10.8,4.0,0,,1.0,1.0,0.5,90.0
13,329134.2,4693275.4,9.9,4.0,0,,1.0,1.0,0.5,90.0
14,329184.2,4693275.4,11.4,4.0,0,,1.0,1.0,0.5,90.0
15,329234.2,4693275.4,11.0,4.0,0,,1.0,1.0,0.5,90.0
16,329284.2,4693275.4,10.4,4.0,0,,1.0,1.0,0.5,90.0
17,329334.2,4693275.4,10.5,4.0,0,,1.0,1.0,0.5,90.0
18,328034.2,4693325.4,10.2,4.0,0,,1.0,1.0,0.5,90.0
19,328084.2,4693325.4,9.6,4.0,0,,1.0,1.0,0.5,90.0
20,328134.2,4693325.4,9.3,4.0,0,,1.0,1.0,0.5,90.0
21,328184.2,4693325.4,10.4,4.0,0,,1.0,1.0,0.5,90.0
22,328234.2,4693325.4,10.8,4.0,0,,1.0,1.0,0.5,90.0
23,328284.2,4693325.4,10.5,4.0,0,,1.0,1.0,0.5,90.0
24,328334.2,4693325.4,10.8,4.0,0,,1.0,1.0,0.5,90.0
25,328384.2,4693325.4,10.7,4.0,0,,1.0,1.0,0.5,90.0
26,328434.2,4693325.4,9.7,4.0,0,,1.0,1.0,0.5,90.0
27,328484.2,4693325.4,9.3,4.0,0,,1.0,1.0,0.5,90.0
28,328534.2,4693325.4,9.1,4.0,0,,1.0,1.0,0.5,90.0
29,328584.2,4693325.4,8.9,4.0,0,,1.0,1.0,0.5,90.0
30,328884.2,4693325.4,9.1,4.0,0,,1.0,1.0,0.5,90.0
31,328934.2,4693325.4,9.2,4.0,0,,1.0,1.0,0.5,90.0
32,328984.2,4693325.4,9.5,4.0,0,,1.0,1.0,0.5,90.0
33,329034.2,4693325.4,10.0,4.0,0,,1.0,1.0,0.5,90.0
34,329084.2,4693325.4,10.3,4.0,0,,1.0,1.0,0.5,90.0
35,329134.2,4693325.4,10.2,4.0,0,,1.0,1.0,0.5,90.0
36,329184.2,4693325.4,10.7,4.0,0,,1.0,1.0,0.5,90.0
37,329234.2,4693325.4,10.6,4.0,0,,1.0,1.0,0.5,90.0
38,329284.2,4693325.4,10.4,4.0,0,,1.0,1.0,0.5,90.0
39,329334.2,4693325.4,10.5,4.0,0,,1.0,1.0,0.5,90.0
40,327884.2,4693375.4,10.1,4.0,0,,1.0,1.0,0.5,90.0
41,327934.2,4693375.4,10.1,4.0,0,,1.0,1.0,0.5,90.0
42,328134.2,4693375.4,9.2,4.0,0,,1.0,1.0,0.5,90.0
43,328284.2,4693375.4,10.9,4.0,0,,1.0,1.0,0.5,90.0
44,328334.2,4693375.4,10.5,4.0,0,,1.0,1.0,0.5,90.0
45,328384.2,4693375.4,10.3,4.0,0,,1.0,1.0,0.5,90.0
46,328434.2,4693375.4,10.2,4.0,0,,1.0,1.0,0.5,90.0
47,328484.2,4693375.4,9.7,4.0,0,,1.0,1.0,0.5,90.0
48,328534.2,4693375.4,9.3,4.0,0,,1.0,1.0,0.5,90.0
49,328684.2,4693375.4,12.5,4.0,0,,1.0,1.0,0.5,90.0
50,328734.2,4693375.4,8.6,4.0,0,,1.0,1.0,0.5,90.0
51,328784.2,4693375.4,8.8,4.0,0,,1.0,1.0,0.5,90.0
52,328834.2,4693375.4,9.2,4.0,0,,1.0,1.0,0.5,90.0
53,328884.2,4693375.4,9.6,4.0,0,,1.0,1.0,0.5,90.0
54,328934.2,4693375.4,10.4,4.0,0,,1.0,1.0,0.5,90.0
55,328984.2,4693375.4,10.6,4.0,0,,1.0,1.0,0.5,90.0
56,329234.2,4693375.4,11.0,4.0,0,,1.0,1.0,0.5,90.0
57,329284.2,4693375.4,10.8,4.0,0,,1.0,1.0,0.5,90.0
58,327434.2,4693425.4,9.5,4.0,0,,1.0,1.0,0.5,90.0
59,327484.2,4693425.4,9.8,4.0,0,,1.0,1.0,0.5,90.0
60,327534.2,4693425.4,9.5,4.0,0,,1.0,1.0,0.5,90.0
61,327584.2,4693425.4,9.8,4.0,0,,1.0,1.0,0.5,90.0
62,327634.2,4693425.4,10.1,4.0,0,,1.0,1.0,0.5,90.0
63,327684.2,4693425.4,10.9,4.0,0,,1.0,1.0,0.5,90.0
64,327734.2,4693425.4,12.2,4.0,0,,1.0,1.0,0.5,90.0
65,328684.2,4693425.4,8.8,4.0,0,,1.0,1.0,0.5,90.0
66,328734.2,4693425.4,9.4,4.0,0,,1.0,1.0,0.5,90.0
67,328784.2,4693425.4,9.9,4.0,0,,1.0,1.0,0.5,90.0
68,329234.2,4693425.4,11.2,4.0,0,,1.0,1.0,0.5,90.0
69,329284.2,4693425.4,11.3,4.0,0,,1.0,1.0,0.5,90.0
70,326884.2,4693475.4,21.8,4.0,0,,1.0,1.0,0.5,90.0
71,326934.2,4693475.4,18.3,4.0,0,,1.0,1.0,0.5,90.0
72,326984.2,4693475.4,15.9,4.0,0,,1.0,1.0,0.5,90.0
73,327034.2,4693475.4,14.7,4.0,0,,1.0,1.0,0.5,90.0
74,327084.2,4693475.4,14.0,4.0,0,,1.0,1.0,0.5,90.0
75,327134.2,4693475.4,12.8,4.0,0,,1.0,1.0,0.5,90.0
76,327184.2,4693475.4,11.7,4.0,0,,1.0,1.0,0.5,90.0
77,327234.2,4693475.4,10.3,4.0,0,,1.0,1.0,0.5,90.0
78,327284.2,4693475.4,9.4,4.0,0,,1.0,1.0,0.5,90.0
79,327334.2,4693475.4,9.1,4.0,0,,1.0,1.0,0.5,90.0
80,327384.2,4693475.4,8.8,4.0,0,,1.0,1.0,0.5,90.0
81,327434.2,4693475.4,9.7,4.0,0,,1.0,1.0,0.5,90.0
82,327634.2,4693475.4,9.8,4.0,0,,1.0,1.0,0.5,90.0
83,327684.2,4693475.4,10.3,4.0,0,,1.0,1.0,0.5,90.0
84,329234.2,4693475.4,11.1,4.0,0,,1.0,1.0,0.5,90.0
85,329284.2,4693475.4,11.9,4.0,0,,1.0,1.0,0.5,90.0
86,326984.2,4693525.4,15.4,4.0,0,,1.0,1.0,0.5,90.0
87,327084.2,4693525.4,12.9,4.0,0,,1.0,1.0,0.5,90.0
88,327134.2,4693525.4,11.4,4.0,0,,1.0,1.0,0.5,90.0
89,327184.2,4693525.4,10.8,4.0,0,,1.0,1.0,0.5,90.0
90,327234.2,4693525.4,10.4,3.999,0,,1.0,1.0,0.5,90.0
91,329234.2,4693525.4,11.4,4.0,0,,1.0,1.0,0.5,90.0
92,329234.2,4693575.4,10.0,4.0,0,,1.0,1.0,0.5,90.0
93,329184.2,4693625.4,9.4,4.0,0,,1.0,1.0,0.5,90.0
94,329234.2,4693625.4,9.1,4.0,0,,1.0,1.0,0.5,90.0
95,326634.2,4693675.4,26.6,4.0,0,,1.0,1.0,0.5,90.0
96,329184.2,4693675.4,8.3,4.0,0,,1.0,1.0,0.5,90.0
97,329234.2,4693675.4,8.2,4.0,0,,1.0,1.0,0.5,90.0
98,326584.2,4693725.4,21.5,4.0,0,,1.0,1.0,0.5,90.0
99,329134.2,4693725.4,8.7,4.0,0,,1.0,1.0,0.5,90.0
100,329184.2,4693725.4,8.2,4.0,0,,1.0,1.0,0.5,90.0
101,326534.2,4693775.4,17.5,4.0,0,,1.0,1.0,0.5,90.0
102,329134.2,4693775.4,8.2,4.0,0,,1.0,1.0,0.5,90.0
103,329184.2,4693775.4,8.6,4.0,0,,1.0,1.0,0.5,90.0
104,326534.2,4693825.4,16.7,4.0,0,,1.0,1.0,0.5,90.0
105,329134.2,4693825.4,8.6,4.0,0,,1.0,1.0,0.5,90.0
106,329184.2,4693825.4,9.4,4.0,0,,1.0,1.0,0.5,90.0
107,326484.2,4693875.4,14.1,4.0,0,,1.0,1.0,0.5,90.0
108,326534.2,4693875.4,16.1,4.0,0,,1.0,1.0,0.5,90.0
109,329084.2,4693875.4,8.4,4.0,0,,1.0,1.0,0.5,90.0
110,329134.2,4693875.4,9.8,4.0,0,,1.0,1.0,0.5,90.0
111,326434.2,4693925.4,14.7,4.0,0,,1.0,1.0,0.5,90.0
112,326484.2,4693925.4,15.2,4.0,0,,1.0,1.0,0.5,90.0
113,329084.2,4693925.4,9.0,4.0,0,,1.0,1.0,0.5,90.0
114,329134.2,4693925.4,9.0,4.0,0,,1.0,1.0,0.5,90.0
115,326384.2,4693975.4,12.3,4.0,0,,1.0,1.0,0.5,90.0
116,326434.2,4693975.4,13.7,4.0,0,,1.0,1.0,0.5,90.0
117,326484.2,4693975.4,14.7,4.0,0,,1.0,1.0,0.5,90.0
118,329084.2,4693975.4,10.7,4.0,0,,1.0,1.0,0.5,90.0
119,329134.2,4693975.4,10.3,4.0,0,,1.0,1.0,0.5,90.0
120,326384.2,4694025.4,12.1,4.0,0,,1.0,1.0,0.5,90.0
121,326434.2,4694025.4,13.0,4.0,0,,1.0,1.0,0.5,90.0
122,327684.2,4694025.4,18.3,4.0,0,,1.0,1.0,0.5,90.0
123,327734.2,4694025.4,21.7,4.0,0,,1.0,1.0,0.5,90.0
124,327784.2,4694025.4,21.3,4.0,0,,1.0,1.0,0.5,90.0
125,327834.2,4694025.4,19.7,4.0,0,,1.0,1.0,0.5,90.0
126,328984.2,4694025.4,9.3,4.0,0,,1.0,1.0,0.5,90.0
127,329034.2,4694025.4,10.0,4.0,0,,1.0,1.0,0.5,90.0
128,329084.2,4694025.4,10.7,4.0,0,,1.0,1.0,0.5,90.0
129,329134.2,4694025.4,11.0,4.0,0,,1.0,1.0,0.5,90.0
130,326384.2,4694075.4,16.4,4.0,0,,1.0,1.0,0.5,90.0
131,327534.2,4694075.4,14.6,3.997,0,,0.999,1.0,0.5,90.0
132,327584.2,4694075.4,19.5,3.998,0,,1.0,1.0,0.5,90.0
133,327634.2,4694075.4,24.1,3.999,0,,1.0,1.0,0.5,90.0
134,327884.2,4694075.4,25.5,4.0,0,,1.0,1.0,0.5,90.0
135,328734.2,4694075.4,8.4,4.0,0,,1.0,1.0,0.5,90.0
136,328784.2,4694075.4,8.3,4.0,0,,1.0,1.0,0.5,90.0
137,328834.2,4694075.4,9.5,4.0,0,,1.0,1.0,0.5,90.0
138,328884.2,4694075.4,10.6,4.0,0,,1.0,1.0,0.5,90.0
139,328934.2,4694075.4,10.2,4.0,0,,1.0,1.0,0.5,90.0
140,328984.2,4694075.4,9.1,4.0,0,,1.0,1.0,0.5,90.0
141,329034.2,4694075.4,9.4,4.0,0,,1.0,1.0,0.5,90.0
142,329084.2,4694075.4,9.7,4.0,0,,1.0,1.0,0.5,90.0
143,326334.2,4694125.4,18.7,4.0,0,,1.0,1.0,0.5,90.0
